seq_id,pred_model,bit_score,evalue,pred_class,confidence
tr|A0A6A4STS7|A0A6A4STS7_SCOMX,8ca.beta.45,98.2,2.4e-31,beta,30.619788758288394
tr|A0A834BR83|A0A834BR83_ORYME,8ca.beta.45,97.4,4.1e-31,beta,30.387216143280263
tr|A0A8C8XNP7|A0A8C8XNP7_PANLE,,,,NO_HIT,
tr|A0A9N8V4Z2|A0A9N8V4Z2_9GLOM,8ca.alpha.45,21.7,5.3e-08,alpha,7.275724130399211
tr|A0AAD6AS60|A0AAD6AS60_9TELE,8ca.beta.45,99.5,9.500000000000001e-32,beta,31.022276394711152
tr|A0AAD9EVU2|A0AAD9EVU2_DISEL,8ca.beta.45,99.6,8.7e-32,beta,31.06048074738138
sp|A7MAQ2|DIOA3_DIOJA,8ca.beta.45,191.2,1e-59,beta,59.0
tr|A9XP97|A9XP97_DANRE,,,,NO_HIT,
sp|B9EKR1|PTPRZ_MOUSE,8ca.beta.45,108.4,1.9e-34,beta,33.72124639904717
sp|G0WXL9|CS2H_ACIS1,8ca.alpha.45,89.8,6.399999999999999e-29,alpha,28.193820026016112
sp|O04846|ATCA1_ARATH,8ca.beta.45,202.3,4.3e-63,beta,62.36653154442041
sp|O43570|CAH12_HUMAN,8ca.beta.45,144.5,1.8e-45,beta,44.74472749489669
sp|O85040|RBL1_HALNC,,,,NO_HIT,
sp|O85041|CSOS2_HALNC,,,,NO_HIT,
sp|O85042|CSOCA_HALNC,,,,NO_HIT,
sp|O88343|S4A4_MOUSE,,,,NO_HIT,
sp|P00879|RBL_NOSS1,,,,NO_HIT,
sp|P00915|CAH1_HUMAN,8ca.beta.45,167.1,2.2e-52,beta,51.6575773191778
sp|P00917|CAH1_HORSE,8ca.beta.45,171.1,1.4e-53,beta,52.85387196432176
sp|P00918|CAH2_HUMAN,8ca.beta.45,165.8,5.8e-52,beta,51.236572006437065
sp|P00919|CAH2_RABIT,8ca.beta.45,163.4,3.1e-51,beta,50.50863830616573
sp|P00920|CAH2_MOUSE,8ca.beta.45,163.9,2.1e-51,beta,50.67778070526608
sp|P00921|CAH2_BOVIN,8ca.beta.45,168.3,1e-52,beta,52.0
sp|P00922|CAH2_SHEEP,8ca.beta.45,156.4,4.2999999999999994e-49,beta,48.36653154442041
sp|P07451|CAH3_HUMAN,8ca.beta.45,153.8,2.6000000000000002e-48,beta,47.585026652029185
sp|P07630|CAH2_CHICK,8ca.beta.45,158.2,1.2e-49,beta,48.920818753952375
